         #_time (fs)    site                 |m|                 m%x                 m%y                 m%z
      3.20000000E-03       1      1.00000000E+00      3.65624103E-01      7.21669871E-01      5.87802358E-01
      3.20000000E-03       2      1.00000000E+00     -3.65624103E-01     -7.21669871E-01      5.87802358E-01
      3.30000000E-03       1      1.00000000E+00      3.58520389E-01      7.24968403E-01      5.88118988E-01
      3.30000000E-03       2      1.00000000E+00     -3.58520389E-01     -7.24968403E-01      5.88118988E-01
      3.40000000E-03       1      1.00000000E+00      3.51383197E-01      7.28198724E-01      5.88435610E-01
      3.40000000E-03       2      1.00000000E+00     -3.51383197E-01     -7.28198724E-01      5.88435610E-01
      3.50000000E-03       1      1.00000000E+00      3.44213169E-01      7.31360456E-01      5.88752221E-01
      3.50000000E-03       2      1.00000000E+00     -3.44213169E-01     -7.31360456E-01      5.88752221E-01
      3.60000000E-03       1      1.00000000E+00      3.37010953E-01      7.34453224E-01      5.89068823E-01
      3.60000000E-03       2      1.00000000E+00     -3.37010953E-01     -7.34453224E-01      5.89068823E-01
      3.70000000E-03       1      1.00000000E+00      3.29777200E-01      7.37476665E-01      5.89385415E-01
      3.70000000E-03       2      1.00000000E+00     -3.29777200E-01     -7.37476665E-01      5.89385415E-01
      3.80000000E-03       1      1.00000000E+00      3.22512566E-01      7.40430416E-01      5.89701996E-01
      3.80000000E-03       2      1.00000000E+00     -3.22512566E-01     -7.40430416E-01      5.89701996E-01
      3.90000000E-03       1      1.00000000E+00      3.15217711E-01      7.43314123E-01      5.90018567E-01
      3.90000000E-03       2      1.00000000E+00     -3.15217711E-01     -7.43314123E-01      5.90018567E-01
      4.00000000E-03       1      1.00000000E+00      3.07893300E-01      7.46127438E-01      5.90335127E-01
      4.00000000E-03       2      1.00000000E+00     -3.07893300E-01     -7.46127438E-01      5.90335127E-01
      4.10000000E-03       1      1.00000000E+00      3.00540002E-01      7.48870019E-01      5.90651675E-01
      4.10000000E-03       2      1.00000000E+00     -3.00540002E-01     -7.48870019E-01      5.90651675E-01
      4.20000000E-03       1      1.00000000E+00      2.93158491E-01      7.51541530E-01      5.90968212E-01
      4.20000000E-03       2      1.00000000E+00     -2.93158491E-01     -7.51541530E-01      5.90968212E-01
      4.30000000E-03       1      1.00000000E+00      2.85749444E-01      7.54141641E-01      5.91284737E-01
      4.30000000E-03       2      1.00000000E+00     -2.85749444E-01     -7.54141641E-01      5.91284737E-01
      4.40000000E-03       1      1.00000000E+00      2.78313543E-01      7.56670029E-01      5.91601250E-01
      4.40000000E-03       2      1.00000000E+00     -2.78313543E-01     -7.56670029E-01      5.91601250E-01
      4.50000000E-03       1      1.00000000E+00      2.70851473E-01      7.59126377E-01      5.91917751E-01
      4.50000000E-03       2      1.00000000E+00     -2.70851473E-01     -7.59126377E-01      5.91917751E-01
      4.60000000E-03       1      1.00000000E+00      2.63363924E-01      7.61510374E-01      5.92234239E-01
      4.60000000E-03       2      1.00000000E+00     -2.63363924E-01     -7.61510374E-01      5.92234239E-01
      4.70000000E-03       1      1.00000000E+00      2.55851591E-01      7.63821717E-01      5.92550713E-01
      4.70000000E-03       2      1.00000000E+00     -2.55851591E-01     -7.63821717E-01      5.92550713E-01
      4.80000000E-03       1      1.00000000E+00      2.48315169E-01      7.66060109E-01      5.92867175E-01
      4.80000000E-03       2      1.00000000E+00     -2.48315169E-01     -7.66060109E-01      5.92867175E-01
      4.90000000E-03       1      1.00000000E+00      2.40755361E-01      7.68225257E-01      5.93183623E-01
      4.90000000E-03       2      1.00000000E+00     -2.40755361E-01     -7.68225257E-01      5.93183623E-01
      5.00000000E-03       1      1.00000000E+00      2.33172873E-01      7.70316879E-01      5.93500056E-01
      5.00000000E-03       2      1.00000000E+00     -2.33172873E-01     -7.70316879E-01      5.93500056E-01
      5.10000000E-03       1      1.00000000E+00      2.25568412E-01      7.72334697E-01      5.93816476E-01
      5.10000000E-03       2      1.00000000E+00     -2.25568412E-01     -7.72334697E-01      5.93816476E-01
      5.20000000E-03       1      1.00000000E+00      2.17942693E-01      7.74278439E-01      5.94132881E-01
